time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T03:45:36.610Z,23.773,121.7518,26.108,4.8,mwr,53,85,0.563,0.56,us,us7000m9ir,2024-06-12T21:51:52.040Z,"27 km SSE of Hualien City, Taiwan",earthquake,2.5,4.735,0.078,16,reviewed,us,us
2024-04-03T03:49:59.824Z,23.7819,121.7576,26.879,4.1,mb,19,88,0.573,0.93,us,us7000mbhh,2024-06-12T21:51:58.040Z,"26 km SE of Hualien City, Taiwan",earthquake,3.33,4.3,0.213,6,reviewed,us,us
2024-04-03T03:57:17.840Z,23.7997,121.5444,29.509,4.9,mwr,74,80,0.465,0.61,us,us7000m9is,2024-06-12T21:51:52.040Z,"20 km SSW of Hualien City, Taiwan",earthquake,3.84,4.811,0.061,26,reviewed,us,us
2024-04-03T04:08:08.943Z,23.7009,121.7451,31.838,4.4,mwr,37,92,0.513,0.63,us,us7000m9ix,2024-06-12T21:51:52.040Z,"33 km SSE of Hualien City, Taiwan",earthquake,2.25,5.429,0.075,17,reviewed,us,us
2024-04-03T04:34:44.127Z,23.9954,121.668,45.326,4.8,mwr,72,53,0.685,0.58,us,us7000m9iz,2024-06-12T21:51:52.040Z,"6 km ENE of Hualien City, Taiwan",earthquake,3.76,6.355,0.063,24,reviewed,us,us
2024-04-03T04:36:10.809Z,24.0284,121.7173,32.802,4.7,mb,70,52,0.71,0.57,us,us7000mbg6,2024-06-12T21:51:58.040Z,"12 km ENE of Hualien City, Taiwan",earthquake,2.7,5.182,0.086,48,reviewed,us,us
2024-04-03T04:56:47.181Z,24.285,121.7399,29.186,4.6,mb,65,72,0.507,0.54,us,us7000mbfk,2024-06-12T21:51:57.040Z,"36 km NNE of Hualien City, Taiwan",earthquake,3.23,5.216,0.084,42,reviewed,us,us
2024-04-03T04:58:06.939Z,24.1779,121.6093,35,4.5,mb,35,77,0.534,0.61,us,us7000mbhr,2024-06-12T21:51:59.040Z,"22 km N of Hualien City, Taiwan",earthquake,2.42,1.917,0.106,26,reviewed,us,us
2024-04-03T05:23:52.400Z,24.0801,121.7048,42.321,4.3,mwr,73,74,0.659,0.81,us,us7000m9j6,2024-06-12T21:51:52.040Z,"15 km NE of Hualien City, Taiwan",earthquake,3.58,6.005,0.098,10,reviewed,us,us
2024-04-03T05:28:04.325Z,24.0943,121.698,13.854,4.5,mwr,112,74,0.644,0.65,us,us7000mbgf,2024-06-12T21:51:58.040Z,"16 km NE of Hualien City, Taiwan",earthquake,5.1,4.148,0.075,17,reviewed,us,us
2024-04-03T05:33:21.992Z,24.2191,121.7811,18.56,4.5,mb,38,77,0.581,1.02,us,us7000mbge,2024-06-12T21:51:58.040Z,"32 km NE of Hualien City, Taiwan",earthquake,4,1.37,0.136,16,reviewed,us,us
2024-04-03T05:38:42.575Z,23.9069,121.5768,13.91,4.5,mb,35,84,0.573,0.45,us,us7000mbfn,2024-06-12T21:51:58.040Z,"8 km SSW of Hualien City, Taiwan",earthquake,4.37,5.154,0.15,14,reviewed,us,us
2024-04-03T06:10:06.606Z,24.073,121.7402,10,4.2,mwr,67,75,0.681,0.73,us,us7000m9jn,2024-06-12T21:51:52.040Z,"17 km NE of Hualien City, Taiwan",earthquake,4.45,1.839,0.086,13,reviewed,us,us
2024-04-03T06:31:33.452Z,23.8089,121.615,10.508,4.3,mwr,78,80,0.507,0.69,us,us7000m9ju,2024-06-12T21:51:52.040Z,"18 km S of Hualien City, Taiwan",earthquake,5.36,3.036,0.065,23,reviewed,us,us
2024-04-03T06:33:57.472Z,24.1177,121.9286,11.238,4.9,mwr,80,65,0.746,0.86,us,us7000m9jv,2024-06-12T21:51:52.040Z,"36 km ENE of Hualien City, Taiwan",earthquake,6.28,4.14,0.068,21,reviewed,us,us
2024-04-03T07:05:19.727Z,24.208,121.6492,21.102,4.2,mwr,40,99,0.523,0.79,us,us7000mbft,2024-06-12T21:51:58.040Z,"25 km N of Hualien City, Taiwan",earthquake,4.51,2.49,0.08,15,reviewed,us,us
2024-04-03T07:16:57.082Z,23.7134,121.6451,10,4.3,mb,24,86,0.452,0.83,us,us7000mbfy,2024-06-12T21:51:58.040Z,"29 km S of Hualien City, Taiwan",earthquake,3.52,1.34,0.189,11,reviewed,us,us
2024-04-03T07:31:18.706Z,24.1199,121.7895,36.522,4,mwr,33,80,0.665,0.55,us,us7000mbgc,2024-06-12T21:51:58.040Z,"24 km NE of Hualien City, Taiwan",earthquake,2.19,7.892,0.075,17,reviewed,us,us
2024-04-03T08:09:47.487Z,23.697,121.5771,27.267,4.4,mb,67,73,0.397,0.73,us,us7000mbg0,2024-06-12T21:51:58.040Z,"31 km S of Hualien City, Taiwan",earthquake,4.83,5.529,0.084,41,reviewed,us,us
2024-04-03T08:17:12.045Z,24.0137,121.6086,26.281,4.3,mwr,62,46,0.64,1.1,us,us7000m9kb,2024-06-12T21:51:53.040Z,"4 km N of Hualien City, Taiwan",earthquake,3.19,1.576,0.06,27,reviewed,us,us
2024-04-03T08:38:01.172Z,23.7241,121.5348,22.426,4.3,mwr,69,73,0.396,0.72,us,us7000m9ka,2024-06-12T21:51:53.040Z,"28 km SSW of Hualien City, Taiwan",earthquake,3.37,4.389,0.065,23,reviewed,us,us
2024-04-03T08:56:29.517Z,24.0156,121.6404,20.14,4.2,mwr,94,63,0.668,0.75,us,us7000m9kk,2024-06-12T21:51:53.040Z,"5 km NE of Hualien City, Taiwan",earthquake,4.01,2.816,0.065,23,reviewed,us,us
2024-04-03T09:08:05.155Z,24.1294,121.6046,33.177,4.1,mb,15,79,0.577,0.55,us,us7000mbgm,2024-06-12T21:51:58.040Z,"16 km N of Hualien City, Taiwan",earthquake,3.65,6.487,0.233,5,reviewed,us,us
2024-04-03T09:15:01.310Z,23.8442,121.6153,26.199,4,mwr,57,83,0.536,0.42,us,us7000mbg4,2024-06-12T21:51:58.040Z,"14 km S of Hualien City, Taiwan",earthquake,2.97,5.338,0.089,12,reviewed,us,us
2024-04-03T09:20:08.753Z,23.955,121.7132,35.995,4.1,mb,33,84,0.678,0.77,us,us7000mbg5,2024-06-12T21:51:58.040Z,"11 km ESE of Hualien City, Taiwan",earthquake,2.8,9.745,0.12,19,reviewed,us,us
2024-04-03T09:40:37.492Z,24.0385,121.6421,17.133,4.1,mb,24,75,0.674,0.89,us,us7000mbg7,2024-06-12T21:51:58.040Z,"7 km NNE of Hualien City, Taiwan",earthquake,4.45,0.83,0.165,10,reviewed,us,us
2024-04-03T09:53:09.378Z,23.9646,121.6974,34.772,4,mwr,36,80,0.677,0.64,us,us7000mbg8,2024-06-12T21:51:58.040Z,"9 km E of Hualien City, Taiwan",earthquake,4.51,5.088,0.08,15,reviewed,us,us
2024-04-03T09:53:42.571Z,24.0497,121.7386,34.34,4,mb,21,133,0.7,1.06,us,us7000mbhf,2024-06-12T21:51:58.040Z,"15 km ENE of Hualien City, Taiwan",earthquake,4.79,6.155,0.172,9,reviewed,us,us
2024-04-03T10:38:55.444Z,24.1752,121.6545,33.924,4.2,mwr,48,64,0.554,0.64,us,us7000mbgd,2024-06-12T21:51:58.040Z,"22 km NNE of Hualien City, Taiwan",earthquake,3.12,5.517,0.065,23,reviewed,us,us
2024-04-03T10:56:37.589Z,23.9777,121.695,37.514,4.1,mwr,136,30,0.687,0.46,us,us7000m9kz,2024-06-12T21:51:53.040Z,"9 km E of Hualien City, Taiwan",earthquake,3.38,6.115,0.063,24,reviewed,us,us
2024-04-03T13:32:00.020Z,24.0104,121.7682,35.821,4.3,mb,29,83,0.747,0.79,us,us7000mbgp,2024-06-12T21:51:58.040Z,"17 km ENE of Hualien City, Taiwan",earthquake,2.5,9.659,0.168,10,reviewed,us,us
2024-04-03T13:41:21.522Z,23.8125,121.8381,35.049,4.2,mb,28,88,0.649,0.6,us,us7000mbgq,2024-06-12T21:51:58.040Z,"29 km SE of Hualien City, Taiwan",earthquake,1.55,8.397,0.176,9,reviewed,us,us
2024-04-03T14:38:34.755Z,24.1456,121.6943,19.542,4.1,mwr,69,73,0.597,0.5,us,us7000m9lv,2024-06-12T21:51:53.040Z,"20 km NNE of Hualien City, Taiwan",earthquake,2.95,4.394,0.06,27,reviewed,us,us
2024-04-03T14:49:15.555Z,24.1328,121.8511,25.537,4.3,mwr,80,50,0.688,0.76,us,us7000m9m0,2024-06-12T21:51:53.040Z,"30 km NE of Hualien City, Taiwan",earthquake,1.81,5.152,0.062,25,reviewed,us,us
2024-04-03T15:01:41.092Z,24.2176,121.6971,24.248,4,mwr,35,71,0.537,0.86,us,us7000mbgu,2024-06-12T21:51:58.040Z,"28 km NNE of Hualien City, Taiwan",earthquake,2.04,4.834,0.066,22,reviewed,us,us
2024-04-03T15:30:00.725Z,23.8702,121.6892,38.527,4.4,mb,32,65,0.596,0.73,us,us7000mbgw,2024-06-12T21:51:58.040Z,"14 km SE of Hualien City, Taiwan",earthquake,3.53,8.883,0.144,14,reviewed,us,us
2024-04-03T15:39:10.017Z,24.136,121.6875,25.124,4.5,mwr,144,56,0.602,0.77,us,us7000m9m4,2024-06-12T21:51:53.040Z,"19 km NNE of Hualien City, Taiwan",earthquake,4.85,5.15,0.063,24,reviewed,us,us
2024-04-03T15:42:36.205Z,24.1496,121.6838,20.011,4.5,mwr,99,56,0.589,0.6,us,us7000m9m8,2024-06-12T21:51:53.040Z,"20 km NNE of Hualien City, Taiwan",earthquake,4.18,4.384,0.061,26,reviewed,us,us
2024-04-03T15:54:39.253Z,24.1722,121.6483,25.002,4.5,mb,110,31,0.554,0.65,us,us7000m9mn,2024-06-12T21:51:53.040Z,"22 km NNE of Hualien City, Taiwan",earthquake,3.45,5.102,0.06,92,reviewed,us,us
